How did you hear about CCM?,What impacted your decision to attend CCM?,Ages,Interest in taking another class,Interested Classes,What motivated you to seek a computing class at CCM
"CCM Web site, Social Media, Community Event, Family member or friend, CCM Alumni, High School Teacher, High School Counselor, Home mailer, Other","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Family/friend referral'], 'Some Impact': ['College reputation', 'Small class sizes'], 'No Impact': ['Online offerings', 'Faculty/staff', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",19-20,2,No interested classes,It’s a required class for the degree I’m seeking
Other,"{'High Impact': ['Location/convenience', 'Choice of programs'], 'Some Impact': ['Online offerings'], 'No Impact': ['Affordable cost', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",35-64,5,"Web Development, CyberSecurity, Data Analytics, Computer Programming, Hardware Installation & Repair","To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Career Change, Professional Development, Job Displacement, IT Industry Certifications, It’s a required class for the degree I’m seeking"
"Family member or friend, Current CCM student, Other","{'High Impact': ['Affordable cost', 'Location/convenience', 'Online offerings', 'Family/friend referral', 'Financial Aid', 'Scholarships'], 'Some Impact': ['Small class sizes', 'Accepted my transfer credits'], 'No Impact': ['Choice of programs', 'Faculty/staff', 'College reputation', 'Extra-curricular opportunities', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",19-20,2,"CyberSecurity, Data Analytics, Machine Learning/Artificial Intelligence, Game Design, Hardware Installation & Repair","Career Advancement, Financial, It’s a required class for the degree I’m seeking"
"Family member or friend, Current CCM student, Billboard","{'High Impact': ['Affordable cost', 'Location/convenience', 'Family/friend referral', 'Small class sizes', 'Accepted my transfer credits', 'Negative experience at another college', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Choice of programs', 'Online offerings', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'NJ Stars Program'], 'No Impact': ['Extra-curricular opportunities', 'Get college credit while in high school']}",19-20,2,No interested classes,"To keep current in computing skills, Personal Enrichment, It’s a required class for the degree I’m seeking"
"Family member or friend, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience'], 'Some Impact': ['College reputation', 'Financial Aid', 'Scholarships', 'Extra-curricular opportunities'], 'No Impact': ['Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'Small class sizes', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",21-24,2,"Machine Learning/Artificial Intelligence, Game Design","Curiosity, It’s a required class for the degree I’m seeking"
"CCM Web site, Family member or friend, CCM Alumni","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Ability to transfer CCM credits to a 4-year school'], 'Some Impact': ['Extra-curricular opportunities'], 'No Impact': ['Online offerings', 'Family/friend referral', 'Small class sizes', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",25-34,4,"CyberSecurity, Data Analytics, Machine Learning/Artificial Intelligence, Computer Programming, Hardware Installation & Repair","To keep current in computing skills, Curiosity, Personal Enrichment, Career Advancement, Career Change, Professional Development, It’s a required class for the degree I’m seeking"
"Family member or friend, High School Counselor","{'High Impact': ['Location/convenience', 'Choice of programs'], 'Some Impact': ['Affordable cost', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",18 and younger,3,No interested classes,It’s a required class for the degree I’m seeking
High School Teacher,"{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Financial Aid'], 'Some Impact': ['Faculty/staff', 'College reputation'], 'No Impact': ['Online offerings', 'Family/friend referral', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",25-34,3,CyberSecurity,"To keep current in computing skills, Curiosity, Career Advancement, It’s a required class for the degree I’m seeking"
Other,"{'High Impact': [], 'Some Impact': [], 'No Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Online offerings', 'Family/friend referral', 'Faculty/staff', 'College reputation', 'Financial Aid', 'Scholarships', 'Small class sizes', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Negative experience at another college', 'NJ Stars Program', 'Ability to transfer CCM credits to a 4-year school', 'Get college credit while in high school']}",21-24,2,CyberSecurity,"Career Advancement, Professional Development, It’s a required class for the degree I’m seeking"
"Family member or friend, High School Teacher, High School Counselor","{'High Impact': ['Affordable cost', 'Location/convenience', 'Choice of programs', 'Family/friend referral', 'College reputation', 'Small class sizes'], 'Some Impact': ['Faculty/staff', 'Extra-curricular opportunities', 'Accepted my transfer credits', 'Ability to transfer CCM credits to a 4-year school'], 'No Impact': ['Online offerings', 'Financial Aid', 'Scholarships', 'Negative experience at another college', 'NJ Stars Program', 'Get college credit while in high school']}",19-20,1,No interested classes,It’s a required class for the degree I’m seeking
